ordinal,name,primary,secondary,rarity,archetype,biomes,time_lock,weekday_lock,weather_boost,final_size,max_kb,ai_prompt
0,Lobstepi,Fire,Wood,Common,crab,Desert|Cave,any,Saturday,Heat,96x96,5,"Pokemon-style monster creature named ""Lobstepi"". PRIMARY ELEMENT: Fire — deep red, orange, yellow, smoldering ember tones. SECONDARY ELEMENT: Wood — deep forest green, bark-brown, autumn ochre. CREATURE ARCHETYPE: crab. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: burning mane, flame tail, plus leaf-mane accents from Wood-element, made of charred bone. AURA / MOOD: heat-shimmer aura, sparks rising. STYLE REFERENCE: like Arcanine — burning mane on a powerful quadruped. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
1,Croloon,Water,,Common,quadruped,Beach|Harbor|Marsh,any,Friday,Rain,96x96,5,"Pokemon-style monster creature named ""Croloon"". PRIMARY ELEMENT: Water — deep ocean blue, teal, foam-white, kelp-green. CREATURE ARCHETYPE: quadruped. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: translucent jelly skin, fin-blade ridges, made of barnacle plating. AURA / MOOD: swirling water-stream around body. STYLE REFERENCE: like Vaporeon — sleek aquatic with fluid ridges. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
2,Hippong,Ice,Wind,Common,mythic-form,Mountain|WaterSurface,any,Wednesday,Snow,96x96,5,"Pokemon-style monster creature named ""Hippong"". PRIMARY ELEMENT: Ice — pale blue, cyan, frost-white, glacial silver. SECONDARY ELEMENT: Wind — sky-blue, white, silver, dawn-pink accents. CREATURE ARCHETYPE: mythic-form. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: snowflake markings, shattered-glass exoskeleton, plus cloud-puff mane accents from Wind-element, made of permafrost hide. AURA / MOOD: crisp frost mist. STYLE REFERENCE: like Glaceon — crystalline ice plates over fur. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
3,Demonkey,Earth,Fire,Common,simian,Forest|Mountain|Desert,any,Sunday,any,96x96,5,"Pokemon-style monster creature named ""Demonkey"". PRIMARY ELEMENT: Earth — rich brown, ochre, terracotta, mossy green. SECONDARY ELEMENT: Fire — deep red, orange, yellow, smoldering ember tones. CREATURE ARCHETYPE: simian. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: boulder-shoulder, root-bound horns, plus burning mane accents from Fire-element, made of granite hide. AURA / MOOD: small dust kicked up around feet. STYLE REFERENCE: like Rhydon — heavy earth-armored beast. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
4,Octopaza,Wood,,Common,octopus,Forest|Plains,day-preferred,Sunday,any,96x96,5,"Pokemon-style monster creature named ""Octopaza"". PRIMARY ELEMENT: Wood — deep forest green, bark-brown, autumn ochre. CREATURE ARCHETYPE: octopus. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: flowering blossom on chest, vine tendrils, made of ivy weave. AURA / MOOD: petals drifting in air. STYLE REFERENCE: like Sceptile — slender tree-leaf creature. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
5,Shaplume,Metal,Crystal,Common,bird,Cave|Castle|Harbor,any,Monday,any,96x96,5,"Pokemon-style monster creature named ""Shaplume"". PRIMARY ELEMENT: Metal — iron grey, steel blue, brass-gold accents. SECONDARY ELEMENT: Crystal — rainbow refractions on white, prismatic edges, hard light. CREATURE ARCHETYPE: bird. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: gear joints, riveted plating, plus geode core accents from Crystal-element, made of chrome carapace. AURA / MOOD: metallic clinking, static-spark. STYLE REFERENCE: like Scizor — armored insectoid steel-plated. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
6,Armanium,Storm,,Common,mythic-form,Beach|Mountain,any,Thursday,Rain,96x96,5,"Pokemon-style monster creature named ""Armanium"". PRIMARY ELEMENT: Storm — violet-electric, indigo, sulphur-yellow accents. CREATURE ARCHETYPE: mythic-form. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: thunder cloud collar, rain-soaked aura, made of charged feather. AURA / MOOD: arcing electric tendrils. STYLE REFERENCE: like Zapdos — feathered electric storm-bird. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
7,Whirlpecker,Wind,Earth,Common,spirit-form,Plains|Mountain,any,Friday,Foehn,96x96,5,"Pokemon-style monster creature named ""Whirlpecker"". PRIMARY ELEMENT: Wind — sky-blue, white, silver, dawn-pink accents. SECONDARY ELEMENT: Earth — rich brown, ochre, terracotta, mossy green. CREATURE ARCHETYPE: spirit-form. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: crescent horns, cloud-puff mane, plus boulder-shoulder accents from Earth-element, made of thin chitin. AURA / MOOD: ribbon-trails of air. STYLE REFERENCE: like Pidgeot — majestic raptor with wind-sweep mane. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
8,Terrohawk,Shadow,Light,Common,beast,Cave|Marsh|Sanctum,night-only,Wednesday,Fog,96x96,5,"Pokemon-style monster creature named ""Terrohawk"". PRIMARY ELEMENT: Shadow — midnight-black, deep purple, blood-red eye glow. SECONDARY ELEMENT: Light — radiant gold, ivory, soft platinum highlights. CREATURE ARCHETYPE: beast. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: smoke-tendrils, void-eyes, plus halo crest accents from Light-element, made of obsidian claws. AURA / MOOD: darkness pooling at feet. STYLE REFERENCE: like Gengar — phantasmal grin with floating limbs. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
9,Scorpilix,Light,,Common,insect,Castle|Sanctum|Town,day-only,Tuesday,any,96x96,5,"Pokemon-style monster creature named ""Scorpilix"". PRIMARY ELEMENT: Light — radiant gold, ivory, soft platinum highlights. CREATURE ARCHETYPE: insect. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: sun-ray fur, halo crest, made of sunlit feather. AURA / MOOD: soft glow radiating outward. STYLE REFERENCE: like Lugia — pale heroic guardian-form. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
