ordinal,name,rarity,redo_existing,output_format,visual_concept,ai_prompt
990,Orru,Legendary,false,8-frame loop per view (24 PNGs total in 3 sub-folders),"Blue-Eyes Triple-Head — a colossal three-headed dragon with metallic icy-blue scales. Each head crowned with crystalline horn-cluster. Wings translucent like frost-glass. Massive serpentine body. Frost-plasma crackles between the three throats.","Pokemon-style LEGENDARY monster: a colossal three-headed dragon with metallic icy-blue scales, each head crowned with crystalline horn-clusters, wings translucent like frost-glass, massive serpentine body, frost-plasma crackling between the three throats. ANIMATION HINT: the three throats glow on alternating beats — design supports multi-frame plasma-pulse animation. RARITY TIER: Legendary (mythical and divine appearance, otherworldly aura, ~35% larger silhouette dominating ~85% of frame). NEVER use the name 'Orru' as a visual hint. Render 3 views: front / 3/4 back / profile. 96x96 PNG, transparent BG, ≤5 KB. ANIMATED OUTPUT (legendary only): generate 24 PNGs total per creature — 8 frames × 3 views, organized as Monsters/<name>/front/frame_0001.png … frame_0008.png, Monsters/<name>/three_quarter_back/frame_0001.png … frame_0008.png, Monsters/<name>/profile/frame_0001.png … frame_0008.png. Loop animation at 12 fps — subtle motion (drifting halo / pulsing runes / flowing sand / wandering stars / flickering flame), creature silhouette + pose stable across frames, only effect-layer changes. Frame 1 = Frame 9 (seamless loop). Each frame: 96x96 PNG, transparent BG, indexed-256, ≤5 KB."
991,Xundraintu,Legendary,false,8-frame loop per view (24 PNGs total in 3 sub-folders),"Obelisk-Kolossus — a towering humanoid colossus carved from deep blue-stone, hands clenched in massive bound fists, eye-sockets blazing red, ancient glowing runes etched across chest and shoulders. Featureless face. Squared anatomical proportions like a megalith come to life.","Pokemon-style LEGENDARY monster: a towering humanoid colossus carved from deep blue-stone, hands clenched in massive bound fists, eye-sockets blazing red, ancient glowing runes etched across chest and shoulders, featureless face, squared megalith-like anatomy. ANIMATION HINT: runes on chest pulse with red light in a slow rhythm. RARITY TIER: Legendary (~35% larger silhouette). Ignore the name 'Xundraintu'. Render 3 views. 96x96 PNG, transparent BG, ≤5 KB. ANIMATED OUTPUT (legendary only): generate 24 PNGs total per creature — 8 frames × 3 views, organized as Monsters/<name>/front/frame_0001.png … frame_0008.png, Monsters/<name>/three_quarter_back/frame_0001.png … frame_0008.png, Monsters/<name>/profile/frame_0001.png … frame_0008.png. Loop animation at 12 fps — subtle motion (drifting halo / pulsing runes / flowing sand / wandering stars / flickering flame), creature silhouette + pose stable across frames, only effect-layer changes. Frame 1 = Frame 9 (seamless loop). Each frame: 96x96 PNG, transparent BG, indexed-256, ≤5 KB."
992,Resosdienth,Legendary,false,8-frame loop per view (24 PNGs total in 3 sub-folders),"Plant-Löwe — a regal feline body with a mane made of living interwoven vines, autumn leaves and wildflowers. Polished silver-steel claws extend from leaf-padded paws. Eyes glow deep emerald-gold. Tail tip blooms into a single radiant flower. Posture proud, head raised.","Pokemon-style LEGENDARY monster: a regal feline body with a mane made of living interwoven vines and wildflowers, polished silver-steel claws from leaf-padded paws, eyes glowing emerald-gold, tail tip blooms into a radiant flower. ANIMATION HINT: petals slowly drift off the mane. RARITY TIER: Legendary (~35% larger silhouette). Ignore the name 'Resosdienth'. Render 3 views. 96x96 PNG, transparent BG, ≤5 KB. ANIMATED OUTPUT (legendary only): generate 24 PNGs total per creature — 8 frames × 3 views, organized as Monsters/<name>/front/frame_0001.png … frame_0008.png, Monsters/<name>/three_quarter_back/frame_0001.png … frame_0008.png, Monsters/<name>/profile/frame_0001.png … frame_0008.png. Loop animation at 12 fps — subtle motion (drifting halo / pulsing runes / flowing sand / wandering stars / flickering flame), creature silhouette + pose stable across frames, only effect-layer changes. Frame 1 = Frame 9 (seamless loop). Each frame: 96x96 PNG, transparent BG, indexed-256, ≤5 KB."
993,Xazzyrth,Legendary,false,8-frame loop per view (24 PNGs total in 3 sub-folders),"Dark Magician — an arcane warlord in violet-black armor with a star-patterned cape, holding a curved staff topped with a floating purple crystal. Horned helmet shadows the face. Eyes glow violet beneath. Tall, slender, imposing. Magic glyphs swirl around the staff.","Pokemon-style LEGENDARY monster: an arcane warlord in violet-black armor with star-patterned cape, holding a curved staff topped with a floating purple crystal, horned helmet shadowing the face, eyes glowing violet beneath, tall slender imposing, magic glyphs swirling around the staff. ANIMATION HINT: glyphs orbit the crystal in slow circles. RARITY TIER: Legendary (~35% larger silhouette). Ignore the name 'Xazzyrth'. Render 3 views. 96x96 PNG, transparent BG, ≤5 KB. ANIMATED OUTPUT (legendary only): generate 24 PNGs total per creature — 8 frames × 3 views, organized as Monsters/<name>/front/frame_0001.png … frame_0008.png, Monsters/<name>/three_quarter_back/frame_0001.png … frame_0008.png, Monsters/<name>/profile/frame_0001.png … frame_0008.png. Loop animation at 12 fps — subtle motion (drifting halo / pulsing runes / flowing sand / wandering stars / flickering flame), creature silhouette + pose stable across frames, only effect-layer changes. Frame 1 = Frame 9 (seamless loop). Each frame: 96x96 PNG, transparent BG, indexed-256, ≤5 KB."
996,Poton,Legendary,false,8-frame loop per view (24 PNGs total in 3 sub-folders),"Exodia — a colossal sealed god whose body is bound by golden chains in five distinct sealed fragments (head, two arms, two legs) each floating slightly apart. Eyes blaze through the gold. Glowing seal-runes circle each fragment. Imprisoned but radiating menace.","Pokemon-style LEGENDARY monster: a colossal sealed god, body bound by golden chains in five distinct floating sealed fragments (head, two arms, two legs) each slightly apart, eyes blazing through the gold, glowing seal-runes circling each fragment, imprisoned but radiating menace. ANIMATION HINT: seal-runes rotate slowly around each fragment. RARITY TIER: Legendary (~35% larger silhouette). Ignore the name 'Poton'. Render 3 views. 96x96 PNG, transparent BG, ≤5 KB. ANIMATED OUTPUT (legendary only): generate 24 PNGs total per creature — 8 frames × 3 views, organized as Monsters/<name>/front/frame_0001.png … frame_0008.png, Monsters/<name>/three_quarter_back/frame_0001.png … frame_0008.png, Monsters/<name>/profile/frame_0001.png … frame_0008.png. Loop animation at 12 fps — subtle motion (drifting halo / pulsing runes / flowing sand / wandering stars / flickering flame), creature silhouette + pose stable across frames, only effect-layer changes. Frame 1 = Frame 9 (seamless loop). Each frame: 96x96 PNG, transparent BG, indexed-256, ≤5 KB."
999,Orgasdam,Legendary,false,8-frame loop per view (24 PNGs total in 3 sub-folders),"Slifer / Himmlischer Schlangengott — a kilometer-long serpentine dragon coiling through clouds, two mouths stacked vertically (one above the other) both lined with rows of fangs, wings of pure star-fabric stretched between body-segments, scales shimmering with constellations, body trailing nebula-wisps. Chinese mythology + cosmic scale.","Pokemon-style LEGENDARY monster — TOP UNIQUE in entire game (paired with Galaktische Explosion attack): a kilometer-long serpentine dragon coiling through clouds, two mouths stacked vertically both lined with rows of fangs, wings of pure star-fabric stretched between body-segments, scales shimmering with full constellations, body trailing nebula-wisps. Chinese mythology meets cosmic scale. ANIMATION HINT: constellations on the body slowly drift, both mouths can roar in alternating frames. RARITY TIER: Legendary (top of top, ~40% larger silhouette dominating ~90% of frame). Ignore the name 'Orgasdam'. Render 3 views. 96x96 PNG, transparent BG, ≤5 KB. ANIMATED OUTPUT (legendary only): generate 24 PNGs total per creature — 8 frames × 3 views, organized as Monsters/<name>/front/frame_0001.png … frame_0008.png, Monsters/<name>/three_quarter_back/frame_0001.png … frame_0008.png, Monsters/<name>/profile/frame_0001.png … frame_0008.png. Loop animation at 12 fps — subtle motion (drifting halo / pulsing runes / flowing sand / wandering stars / flickering flame), creature silhouette + pose stable across frames, only effect-layer changes. Frame 1 = Frame 9 (seamless loop). Each frame: 96x96 PNG, transparent BG, indexed-256, ≤5 KB."
994,Indrusdet,Legendary,true,8-frame loop per view (24 PNGs total in 3 sub-folders),"Ra / Goldener Sonnen-Adler — a colossal golden raptor with wings of pure solar flame, breath of liquid sunfire, halo of radiant sun-rays surrounding the head, talons forged from molten gold, eyes glowing as miniature suns. Egyptian-pharaonic majesty meets stellar fire. Body proportions massive — wingspan dominates the frame.","Pokemon-style LEGENDARY monster — REPLACES existing artwork at folder 'Indrusdet': a colossal golden raptor with wings of pure solar flame, breath of liquid sunfire pouring from beak, halo of radiant sun-rays surrounding the head, talons forged from molten gold, eyes glowing as miniature suns. Egyptian-pharaonic majesty meets stellar fire. Wingspan dominates the frame. ANIMATION HINT: halo sun-rays rotate, wing-flames flicker between frames. RARITY TIER: Legendary (~35% larger silhouette dominating ~85% of frame, mythical and divine, reality-bending visual flourishes). Ignore the name 'Indrusdet'. Render 3 views. 96x96 PNG, transparent BG, ≤5 KB. ANIMATED OUTPUT (legendary only): generate 24 PNGs total per creature — 8 frames × 3 views, organized as Monsters/<name>/front/frame_0001.png … frame_0008.png, Monsters/<name>/three_quarter_back/frame_0001.png … frame_0008.png, Monsters/<name>/profile/frame_0001.png … frame_0008.png. Loop animation at 12 fps — subtle motion (drifting halo / pulsing runes / flowing sand / wandering stars / flickering flame), creature silhouette + pose stable across frames, only effect-layer changes. Frame 1 = Frame 9 (seamless loop). Each frame: 96x96 PNG, transparent BG, indexed-256, ≤5 KB."
995,Froizainteo,Legendary,true,8-frame loop per view (24 PNGs total in 3 sub-folders),"Crystalline Mantis Apex — a geometric prismatic predator with four blade-arms each refracting impossible-color light, body composed of perfect interlocking polyhedra, hard-light wings unfold into rainbow shards, no flesh — pure crystallized geometry that thinks. Compound eyes are clusters of tiny diamonds.","Pokemon-style LEGENDARY monster — REPLACES existing artwork at folder 'Froizainteo': a geometric prismatic predator mantis with four blade-arms each refracting impossible-color light, body of perfect interlocking polyhedra, hard-light wings unfold into rainbow shards, no flesh — pure crystallized geometry that thinks, compound eyes as clusters of tiny diamonds. ANIMATION HINT: refracted light shifts colors across blade-arms, polyhedra subtly rotate. RARITY TIER: Legendary (~35% larger silhouette dominating ~85% of frame, reality-bending crystalline form). Ignore the name 'Froizainteo'. Render 3 views. 96x96 PNG, transparent BG, ≤5 KB. ANIMATED OUTPUT (legendary only): generate 24 PNGs total per creature — 8 frames × 3 views, organized as Monsters/<name>/front/frame_0001.png … frame_0008.png, Monsters/<name>/three_quarter_back/frame_0001.png … frame_0008.png, Monsters/<name>/profile/frame_0001.png … frame_0008.png. Loop animation at 12 fps — subtle motion (drifting halo / pulsing runes / flowing sand / wandering stars / flickering flame), creature silhouette + pose stable across frames, only effect-layer changes. Frame 1 = Frame 9 (seamless loop). Each frame: 96x96 PNG, transparent BG, indexed-256, ≤5 KB."
997,Chekyntom,Legendary,true,8-frame loop per view (24 PNGs total in 3 sub-folders),"Cosmic Whale-of-Stars — a translucent leviathan filled with swimming galaxies, head-mouth opens periodically to reveal a star-nursery within. Body fins are nebula-veiled. Travels through silent vacuum. Length feels infinite — viewer sees only a portion. Star-clusters drift slowly inside the body.","Pokemon-style LEGENDARY monster — REPLACES existing artwork at folder 'Chekyntom': a translucent cosmic leviathan whale filled with swimming galaxies inside its body, head-mouth opens periodically to reveal a star-nursery within, body fins nebula-veiled, travels through silent vacuum, length feels infinite (viewer sees only a portion). ANIMATION HINT: galaxies inside body slowly drift across frames, mouth opens periodically revealing the star-nursery glow. RARITY TIER: Legendary (~35% larger silhouette dominating ~85% of frame, otherworldly cosmic scale). Ignore the name 'Chekyntom'. Render 3 views. 96x96 PNG, transparent BG, ≤5 KB. ANIMATED OUTPUT (legendary only): generate 24 PNGs total per creature — 8 frames × 3 views, organized as Monsters/<name>/front/frame_0001.png … frame_0008.png, Monsters/<name>/three_quarter_back/frame_0001.png … frame_0008.png, Monsters/<name>/profile/frame_0001.png … frame_0008.png. Loop animation at 12 fps — subtle motion (drifting halo / pulsing runes / flowing sand / wandering stars / flickering flame), creature silhouette + pose stable across frames, only effect-layer changes. Frame 1 = Frame 9 (seamless loop). Each frame: 96x96 PNG, transparent BG, indexed-256, ≤5 KB."
998,Grutin,Legendary,true,8-frame loop per view (24 PNGs total in 3 sub-folders),"Time-Loom Weaver — a clockwork cephalopod with eight arms each winding luminous threads, body covered in spinning gears that grind through past and future simultaneously, head is a brass orb with a single glass-covered eye showing reversed time, threads behind it fade into ghost-images of forgotten moments.","Pokemon-style LEGENDARY monster — REPLACES existing artwork at folder 'Grutin': a clockwork cephalopod with eight arms each winding luminous threads, body covered in spinning gears grinding through past and future simultaneously, head a brass orb with a single glass-covered eye showing reversed time, threads behind fade into ghost-images of forgotten moments. ANIMATION HINT: gears rotate visibly, the eye-pupil flickers backwards through time. RARITY TIER: Legendary (~35% larger silhouette dominating ~85% of frame, reality-bending temporal flourishes). Ignore the name 'Grutin'. Render 3 views. 96x96 PNG, transparent BG, ≤5 KB. ANIMATED OUTPUT (legendary only): generate 24 PNGs total per creature — 8 frames × 3 views, organized as Monsters/<name>/front/frame_0001.png … frame_0008.png, Monsters/<name>/three_quarter_back/frame_0001.png … frame_0008.png, Monsters/<name>/profile/frame_0001.png … frame_0008.png. Loop animation at 12 fps — subtle motion (drifting halo / pulsing runes / flowing sand / wandering stars / flickering flame), creature silhouette + pose stable across frames, only effect-layer changes. Frame 1 = Frame 9 (seamless loop). Each frame: 96x96 PNG, transparent BG, indexed-256, ≤5 KB."
